file,sha256,center_hz,sample_rate,gain_db,iq_pairs,tx_key,te,repeat,analysis_window_pairs,analysis_threshold,analysis_crop_start_window,analysis_crop_end_window,class_count,class_digest,inferred_base,notes
te560-keyface01-rep10-433920000.iq,718fa6ddb660814532dcd4f336e724b5b64d51ca36b4e642e06c0fc2b9047093,433920000,250000,28.0,1250000,FACE01,560,10,20,131072,,,499,065e905b4444fd83c706b64c68675320,7,canonical full-file FACE01 family
te580-keyd15ea5-rep10-433920000.iq,684c09ee6b900261ac79f4a287190f242d147f2e1ac37724b508626bd73e4f8c,433920000,250000,28.0,1250000,D15EA5,580,10,20,131072,,,499,0ce096fea1adcd848b8e0f359833feca,7,canonical full-file D15EA5 family
te600-key55aa33-rep10-433920000.iq,abab8abc7de3640bdac14257f78872b28f3a1421f912fd1ed6e82b56e3693d23,433920000,250000,28.0,1250000,55AA33,600,10,20,131072,,,499,b23944cd40c832edea40ca156b5455fe,8,canonical full-file 55AA33 family
te600-rep10-433920000.iq,de87bfc1e586b6090a8ed25de3c63df7674872683646d9984b03d1d4d00176b8,433920000,250000,28.0,1250000,A1B2C3,600,10,20,131072,,,499,19f722404f38089b6308894a201adbf2,8,canonical full-file A1B2C3 family
te620-keyb16b00-rep10-433920000.iq,153484830c6b72a336e26481544690b6305de2b14992c6558c889d7e8f75b049,433920000,250000,28.0,1250000,B16B00,620,10,20,131072,,,499,782fbf6929fb12a9430159f2e512ec13,8,canonical full-file B16B00 family
te680-keycafe42-rep10-433920000.iq,e36b533a0a592300268cc7729a96def5af7a63ddc7e11d56209b1149d5e1380c,433920000,250000,28.0,1250000,CAFE42,680,10,20,131072,,,499,9892ff8172cf89f3c143fab27cfafd98,9,canonical full-file CAFE42 family
te750-keyc0ffee-rep10-433920000.iq,6f59092562d2377cb009efb8d4ddcc24a154f955708a7675f31bf18739930d0d,433920000,250000,28.0,1250000,C0FFEE,750,10,20,131072,,,499,f0409e8cb4d2bdaba1fdd093301be576,9,canonical full-file C0FFEE family
te800-key55aa33-rep10-433920000.iq,847e8f5aba580eb6a3764f073ac1be8ab9b75e3d7c73a1cccf726377bbb128e5,433920000,250000,28.0,1250000,55AA33,800,10,20,131072,,,499,b23944cd40c832edea40ca156b5455fe,10,canonical full-file 55AA33 family
te800-rep10-433920000.iq,207e0667c94a13e16aa8e86020b73d955b61a744bc75b3879caaf69c282e7767,433920000,250000,28.0,1250000,A1B2C3,800,10,20,131072,,,499,19f722404f38089b6308894a201adbf2,10,canonical full-file A1B2C3 family
te840-keyface01-rep10-433920000.iq,eea128b6a82a14f8846f16ebb930eb6aafc81bdda088fcd8c46121f1e0f4209d,433920000,250000,28.0,1250000,FACE01,840,10,20,131072,,,499,065e905b4444fd83c706b64c68675320,11,canonical full-file FACE01 family
